,link,title,name,price,category,sex
66,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-green-tartan-checks-checked-casual-shirt/16284262/buy,Mast &amp; Harbour,Men Green Tartan Checks Checked Casual Shirt,719,topwear,Men
67,https://www.myntra.com/tshirts/hellcat/hellcat-boys-pack-of-2-printed-hood-t-shirts/12758930/buy,HELLCAT,Boys Pack of 2 Printed Hood T-shirts,659,topwear,N.A.
68,https://www.myntra.com/sweatshirts/roadster/roadster-women-black-solid-hooded-sweatshirt/7778522/buy,Roadster,Women Black Solid Hooded Sweatshirt,599,topwear,Women
69,https://www.myntra.com/tops/v-mart/v-mart-purple-cinched-waist-top/19390242/buy,V-Mart,Purple Cinched Waist Top,611,topwear,N.A.
70,https://www.myntra.com/tops/trend-arrest/trend-arrest-blue-velvet-styled-back-top/19158992/buy,Trend Arrest,Blue Velvet Styled Back Top,779,topwear,N.A.
71,https://www.myntra.com/shirts/allen-solly-sport/allen-solly-sport-men-white-and-blue-striped-casual-shirt/19457740/buy,Allen Solly Sport,Men White And Blue Striped Casual Shirt,1799,topwear,Men
72,https://www.myntra.com/tshirts/veirdo/veirdo-women-red-cars-printed-drop-shoulder-sleeves-loose-t-shirt/19374722/buy,VEIRDO,Women Red Cars Printed Drop-Shoulder Sleeves Loose T-shirt,599,topwear,Women
73,https://www.myntra.com/tshirts/dillinger/dillinger-men-red-typography-printed-pure-cotton-loose-t-shirt/19234688/buy,DILLINGER,Men Red Typography Printed Pure Cotton Loose T-shirt,545,topwear,Men
74,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-blue-micro-ditsy-printed-classic-formal-shirt/17858492/buy,Louis Philippe,Men Blue Micro Ditsy Printed Classic Formal Shirt,2421,topwear,Men
75,https://www.myntra.com/kurtis/taavi/taavi-women-yellow-embroidered-chikankari-pure-cotton-kurtis-with-roll-up-sleeves/13297238/buy,Taavi,Women Yellow Embroidered Chikankari Pure Cotton Kurtis With Roll-Up Sleeves,1199,topwear,Women
76,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-olive-green--white-colourblocked-round-neck-pure-cotton-t-shirt/10970304/buy,Roadster,The Lifestyle Co Women Olive Green  White Colourblocked Round Neck Pure Cotton T-shirt,314,topwear,Women
77,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-navy-blue--white-slim-fit-striped-casual-shirt/10986880/buy,The Indian Garage Co,Men Navy Blue &amp; White Slim Fit Striped Casual Shirt,699,topwear,Men
78,https://www.myntra.com/jackets/highlander/highlander-men-blue-solidwashed-lightweight-denim-jacket/10359321/buy,HIGHLANDER,Men Blue SolidWashed Lightweight Denim Jacket,1249,topwear,Men
79,https://www.myntra.com/tops/dressberry/dressberry-women-stylish-black-solid-cut-out-basic-top/2522867/buy,DressBerry,Women Stylish Black Solid Cut-Out Basic Top,384,topwear,Women
80,https://www.myntra.com/tshirts/allen-solly/allen-solly-men-mauve-solid-polo-collar-knitted-t-shirt/17730600/buy,Allen Solly,Men Mauve Solid Polo Collar Knitted T-shirt,1421,topwear,Men
81,https://www.myntra.com/tshirts/roadster/roadster-women-blue--white-colourblocked-round-neck-cropped-boxy-t-shirt/11697400/buy,Roadster,Women Blue &amp; White Colourblocked Round Neck Cropped Boxy T-shirt,179,topwear,Women
82,https://www.myntra.com/tshirts/tokyo-talkies/tokyo-talkies-women-white-t-shirt/14327266/buy,Tokyo Talkies,Women White T-shirt,292,topwear,Women
83,https://www.myntra.com/kurtas/shrestha-by-vastramay/shrestha-by-vastramay-men-maroon-chevron-embellished-mirror-work-georgette-kurta/17635066/buy,SHRESTHA BY VASTRAMAY,Men Maroon Chevron Embellished Mirror Work Georgette Kurta,2599,topwear,Men
84,https://www.myntra.com/tops/addyvero/addyvero-women-pink--red-printed-empire-top/19222682/buy,ADDYVERO,Women Pink &amp; Red Printed Empire Top,599,topwear,Women
85,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-navy-blue--sea-green-colourblocked-round-neck-t-shirt/13622078/buy,Roadster,The Lifestyle Co Men Navy Blue &amp; Sea Green Colourblocked Round Neck T-shirt,311,topwear,Men
86,https://www.myntra.com/jackets/woodland/woodland-men-black-leather-water-resistant-leather-jacket/16829124/buy,Woodland,Men Black Leather Water Resistant Leather Jacket,34995,topwear,Men
87,https://www.myntra.com/tshirts/wrogn/wrogn-men-navy-blue-solid-slim-fit-turtle-neck-pure-cotton-t-shirt/12329034/buy,WROGN,Men Navy Blue Solid Slim Fit Turtle Neck Pure Cotton T-shirt,769,topwear,Men
88,https://www.myntra.com/shirts/us-polo-assn/us-polo-assn-men-blue-checked-pure-cotton-casual-shirt/17920564/buy,U.S. Polo Assn.,Men Blue Checked Pure Cotton Casual Shirt,1559,topwear,Men
89,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-pink-pure-cotton-t-shirt/13321952/buy,Roadster,The Lifestyle Co Women Pink Pure Cotton T-shirt,244,topwear,Women
90,https://www.myntra.com/shirts/louis-philippe-athwork/louis-philippe-ath-work-men-white-super-slim-fit-solid-casual-shirt/18745128/buy,Louis Philippe Ath.Work,Louis Philippe Ath Work Men White Super Slim Fit Solid Casual Shirt,2999,topwear,Men
91,https://www.myntra.com/tshirts/mast--harbour/mast--harbour-men-white-solid-v-neck-t-shirt/2232103/buy,Mast &amp; Harbour,Men White Solid V-Neck T-shirt,244,topwear,Men
92,https://www.myntra.com/tshirts/20dresses/20dresses-plus-women-blue-typography-printed-t-shirt/19442520/buy,20Dresses,Plus Women Blue Typography Printed T-shirt,821,topwear,Women
93,https://www.myntra.com/tshirts/dillinger/dillinger-men-purple-printed-pure-cotton-loose-oversized-t-shirt/17240508/buy,DILLINGER,Men Purple Printed Pure Cotton Loose Oversized T-shirt,587,topwear,Men
94,https://www.myntra.com/shirts/moda-rapido/moda-rapido-men-blue-slim-fit-printed-casual-shirt-with-applique-detail/12093512/buy,Moda Rapido,Men Blue Slim Fit Printed Casual Shirt with Applique Detail,1039,topwear,Men
95,https://www.myntra.com/sweatshirts/hm/hm-women-grey-motif-detail-hoodie/16718162/buy,H&amp;M,Women Grey Motif-Detail Hoodie,1499,topwear,Women
96,https://www.myntra.com/tops/street-9/street-9-women-bright-fuchsia-solid-satin-top/15884798/buy,STREET 9,Women Bright Fuchsia Solid Satin Top,655,topwear,Women
97,https://www.myntra.com/blazers/louis-philippe/louis-philippe-men-grey-self-design-slim-fit-single-breasted-pure-cotton-blazer/9101399/buy,Louis Philippe,Men Grey Self-Design Slim-Fit Single-Breasted Pure Cotton Blazer,5949,topwear,Men
98,https://www.myntra.com/shirts/flying-machine/flying-machine-men-mustard-yellow-slim-fit-striped-casual-shirt/15078800/buy,Flying Machine,Men Mustard Yellow Slim Fit Striped Casual Shirt,1139,topwear,Men
99,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-beige-solid-classic-fit-formal-pure-cotton-shirt/17858342/buy,Louis Philippe,Men Beige Solid Classic Fit Formal Pure Cotton Shirt,1319,topwear,Men
100,https://www.myntra.com/tshirts/chemistry/chemistry-women-sea-green-t-shirt/14984256/buy,Chemistry,Women Sea Green T-shirt,384,topwear,Women
101,https://www.myntra.com/shirts/us-polo-assn-kids/us-polo-assn-kids-boys-red-opaque-casual-shirt/15300412/buy,U.S. Polo Assn. Kids,Boys Red Opaque Casual Shirt,659,topwear,N.A.
102,https://www.myntra.com/tshirts/hellcat/hellcat-boys-pack-of-2-printed-t-shirt/15354578/buy,HELLCAT,Boys Pack of 2 Printed T-shirt,599,topwear,N.A.
103,https://www.myntra.com/tshirts/roadster/roadster-women-navy-blue-printed-round-neck-t-shirt/10968544/buy,Roadster,Women Navy Blue Printed Round Neck T-shirt,384,topwear,Women
104,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-yellow-polo-collar-pure-cotton-applique-slim-fit-t-shirt/19111166/buy,Calvin Klein Jeans,Men Yellow Polo Collar Pure Cotton Applique Slim Fit T-shirt,3869,topwear,Men
105,https://www.myntra.com/kurtas/vastramay/vastramay-men-purple-solid-straight-kurta/11005936/buy,VASTRAMAY,Men Purple Solid Straight Kurta,854,topwear,Men
106,https://www.myntra.com/shirts/levis/levis-men-navy-blue--white-slim-fit-printed-pure-cotton-casual-shirt/16803456/buy,Levis,Men Navy Blue &amp; White Slim Fit Printed Pure Cotton Casual Shirt,2159,topwear,Men
107,https://www.myntra.com/shirts/ed-a-mamma/ed-a-mamma-boys-blue-comfort-cotton-casual-shirt/18415128/buy,Ed-a-Mamma,Boys Blue Comfort Cotton Casual Shirt,604,topwear,N.A.
108,https://www.myntra.com/tshirts/herenow/herenow-men-black-solid-printed-sleeve-pure-cotton-t-shirt/15609912/buy,HERE&amp;NOW,Men Black Solid Printed Sleeve Pure Cotton T-shirt,399,topwear,Men
109,https://www.myntra.com/shirts/highlander/highlander-men-black--white-slim-fit-striped-casual-shirt/11780926/buy,HIGHLANDER,Men Black &amp; White Slim Fit Striped Casual Shirt,683,topwear,Men
110,https://www.myntra.com/sweatshirts/marks--spencer/marks--spencer-girls-white--black-disney-101-dalmatians-print-sweatshirt/15161594/buy,Marks &amp; Spencer,Girls White &amp; Black Disney 101 Dalmatians Print Sweatshirt,824,topwear,N.A.
